Wall time,Step,Value
1761276489.4482827,146500,24.46601104736328
1761276490.2565207,147000,24.4393253326416
1761276491.0583644,147500,24.7506160736084
1761276491.8361242,148000,25.021333694458008
1761276492.6689343,148500,24.97264289855957
1761276493.73255,149000,25.211397171020508
1761276494.7003882,149500,25.987905502319336
1761276495.6033487,150000,26.37044334411621
1761276496.4773412,150500,25.769487380981445
1761276497.3414104,151000,26.213668823242188
1761276498.1884365,151500,26.506546020507812
1761276499.0601795,152000,26.59108543395996
1761276499.9142494,152500,26.583223342895508
1761276500.825747,153000,26.362459182739258
1761276501.6977198,153500,26.349777221679688
1761276502.5525556,154000,26.85266876220703
1761276503.40988,154500,27.036531448364258
1761276504.272117,155000,27.144460678100586
1761276505.1301522,155500,27.18081283569336
1761276505.9972718,156000,27.944482803344727
1761276506.8535478,156500,28.144933700561523
1761276507.7276094,157000,28.169673919677734
1761276508.6025822,157500,28.535633087158203
1761276509.450751,158000,29.172988891601562
1761276510.2718446,158500,29.329330444335938
1761276511.1232362,159000,29.33304214477539
1761276511.9759881,159500,29.692832946777344
1761276512.8358822,160000,29.910011291503906
1761276513.6990027,160500,30.28318214416504
1761276514.5994234,161000,30.853103637695312
1761276515.4565713,161500,30.78883934020996
1761276516.3146012,162000,31.098642349243164
1761276517.1654863,162500,31.07854461669922
1761276518.0294435,163000,32.289466857910156
1761276518.878848,163500,32.423343658447266
1761276519.729009,164000,32.761436462402344
1761276520.5834265,164500,32.69502639770508
1761276521.4565754,165000,32.551063537597656
1761276522.3142636,165500,32.12804412841797
1761276523.1765223,166000,31.865509033203125
1761276524.038658,166500,30.988550186157227
1761276524.8908815,167000,30.611936569213867
1761276525.755289,167500,29.984098434448242
1761276526.6082115,168000,29.345306396484375
1761276527.4702444,168500,28.641422271728516
1761276528.3345928,169000,28.444440841674805
1761276529.1732037,169500,27.90144920349121
1761276530.0891132,170000,27.999853134155273
1761276530.9451437,170500,27.975339889526367
1761276531.811533,171000,28.146595001220703
1761276532.6741526,171500,28.34432029724121
